Permethrin,Scabies
Mirtazapine,Hypertension
Lovastatin,Type II Diabetes Mellitus
Budeprion SR,Depression
Losartan Potassium,Drug Use
PARoxetine HCl,Hyperlipidemia
Kenalog,Allergic Rhinitis
Sotalol HCl,Hyperlipidemia
Oxybutynin Chloride,Alcohol
Diovan 320/25 CAPS,Diabetes Mellitus Poorly Controlled
BuPROPion HCl,Benign Essential Hypertension
Fish Oil,Stroke Syndrome
Anucort-HC,Vitamin D Deficiency
Banzel,Child With Special Needs
HydrOXYzine HCl,Hyperlipidemia
Cozaar,Normal Routine History And Physical Geriatric (80 +)
Iron,Tobacco Use
Zaleplon,Insomnia
Benazepril HCl,Hypertension
Actoplus Met,Essential Hypertension
Aciphex,Alcohol Use
Symlin,Essential Hypertension
Relpax,Tobacco Use
Handicap Parking,Chronic Obstructive Pulmonary Disease
MiraLax,Esophageal Reflux
Astepro,Allergic Rhinitis
Dilt-CD,Atrial Fibrillation
Clindamycin Palmitate HCl,Acute Upper Respiratory Infection
Nicotine,Hyperlipidemia
Cetirizine HCl Childrens,Recent Ear Infection
Neurontin,Heart Disease
NIFEdipine,Drug Use
Xalatan,Type II Diabetes Mellitus
Terbinafine HCl,Alcohol
HydrOXYzine HCl,Drug Use
Cetirizine HCl Childrens,Reaction To Anesthetics
Levemir,Tobacco Use
Flexeril,Hypertension
Probenecid,Gout
Vivelle-Dot,Hysterectomy
Alendronate Sodium,Drug Use
Tobi,Preterm Infant
Fluocinonide,Alcohol
ZyrTEC Childrens Allergy,Wheezing
Amiodarone HCl,Normal Routine History And Physical Geriatric (80 +)
Nitrostat,Benign Essential Hypertension
Indomethacin,Essential Hypertension
Ortho Tri-Cyclen Lo,Tobacco Use
Syringe,Taking Medication For Diabetes Long-term Use Of Insulin
NovoLOG Mix 70/30 FlexPen,Obesity
Zoloft,Hypertension
Proventil HFA,Hypertension
Vitamin E,Alcohol
Digoxin,Alcohol
Byetta 10 MCG Pen,Coronary Artery Disease
Creon 20,Cystic Fibrosis
ZyrTEC Childrens Allergy,Asthma
PARoxetine HCl,Hypertension
Digoxin-Tab,Atrial Fibrillation
BD Pen Needle Short U/F,Hypertension
Micardis,Essential Hypertension
Ferrous Sulfate,Tobacco Use
NovoLOG,Benign Essential Hypertension
Coreg,Alcohol Use
Kionex,End Stage Renal Disease
Keppra,Stroke Syndrome
Rhinocort Aqua,Tobacco Use
Singulair,Tobacco Use
Xopenex,Acute Upper Respiratory Infection
ProAir HFA,Essential Hypertension
Calcium,Hypertension
Kaletra,Drug Use
GuaiFENesin,Benign Essential Hypertension
PriLOSEC,Alcohol
FreeStyle Lancets,Drug Use
DME,Previous History Of Smoking
"Pen Needles 1/2""",Vitamin D Deficiency
Klor-Con M20,Type II Diabetes Mellitus
Lopid,Diabetes Mellitus Poorly Controlled
Levoxyl,Hyperlipidemia
Aggrenox,Tobacco Use
Avodart,Hyperlipidemia
Insulin Isophane Pork,Diabetes Mellitus Poorly Controlled
Detrol,Hysterectomy
Rondec,Acute Upper Respiratory Infection
Oxybutynin Chloride,Drug Use
Aricept,Tobacco Use
BD U/F Original Pen Needle,Hyperlipidemia
Citalopram Hydrobromide,Diabetes Mellitus
Levemir,Benign Essential Hypertension
Neurontin,Hypothyroidism
Nitroglycerin,Esophageal Reflux
Methotrexate (Anti-Rheumatic),Psoriasis
Combivent,Esophageal Reflux
Dronabinol,HIV Infection
Valtrex,Occupation:
Cetirizine HCl Childrens,Hearing Loss (On Exam)
Senna,Depression
Onglyza,Hyperlipidemia
Vitamin B-12,Depression
Vagifem,Hysterectomy
Flexeril,Benign Essential Hypertension
Saline,Asthma
Kombiglyze XR,Type II Diabetes Mellitus
Cetirizine HCl Childrens,Previous Hospitalizations
Renvela,Hypertension
Magnesium Citrate,Constipation
DiphenhydrAMINE Cough,Eczema
Coreg CR,Essential Hypertension
Sildenafil Citrate,Cystic Fibrosis
BiDil,Taking Medication For A Long Time
Neevo DHA,Bacterial Vaginosis
Clarithromycin,Drug Use
Benazepril HCl,Hyperlipidemia
Mobic,Arthritis
NPH Insulin,Hypertension
Provigil,Depression
Cetirizine HCl Childrens,Common Cold
Terbinafine HCl,Drug Use
Kro Pediatric Electrolyte,Acute Upper Respiratory Infection
Catapres-TTS-3,Essential Hypertension
Trilipix,Hypertension
Dexilant,Esophageal Reflux
HumaLOG Pen,Obesity
Nasal Saline,Otitis Media
Aggrenox,Coronary Artery Disease
Pradaxa,Previous History Of Smoking
Vitamin C,Tobacco Use
Colchicine,Essential Hypertension
Amaryl,Essential Hypertension
Glucovance,Essential Hypertension
HydrOXYzine HCl,Asthma
NovoLIN R,Obesity
Tandem,Iron Deficiency
BD Pen Needle Ultrafine,Type II Diabetes Mellitus
Fosamax,Alcohol
Gris-PEG,Allergic Rhinitis
Amantadine HCl,Alcohol
Potassium Chloride Crys CR,Coronary Artery Disease
NovoLIN 70/30,Congestive Heart Failure
Zemplar,Congestive Heart Failure
Tobramycin,Immunodeficiency Disorders
Verapamil HCl CR,Drug Use
Mag-Oxide,Congestive Heart Failure
Procrit,Benign Essential Hypertension
Cleocin,Eczema
Pen Needles,Benign Essential Hypertension
Advil Junior Strength,Ankle Sprain
FreeStyle Test,Hypertension
Saw Palmetto,Benign Prostatic Hypertrophy
Allegra Allergy Childrens,Allergic Rhinitis
Potassium Chloride,Drug Use
Mucinex,Occupation:
Lidoderm,Esophageal Reflux
Oxymetazoline HCl,Allergic Rhinitis
CefTAZidime,Allergies
Suprax,Secondhand Tobacco Smoke In Home
Indomethacin,Tobacco Use
NPH Insulin,Essential Hypertension
Guaifenesin AC Expectorant,Cough
MetroGel-Vaginal,Cervical Pap Smear
Relpax,Insomnia
Adapalene,Currently In School Having Difficulty
Colace,Hyperlipidemia
Potassium Chloride,Alcohol
Symlin,Hyperlipidemia
Sulfatrim,Living With Parents
Sodium Bicarbonate,Diabetes Mellitus Poorly Controlled
Coreg CR,Congestive Heart Failure
Diltiazem HCl Coated Beads,Essential Hypertension
Suprax,Allergies
Aggrenox,Drug Use
Nitrostat,Normal Routine History And Physical Geriatric (80 +)
Patanase,Occupation:
OneTouch Lancets,Obesity
Santyl,Peripheral Vascular Disease
LevETIRAcetam,Tobacco Use
Pen Needles,Coronary Artery Disease
Relpax,Drug Use
Topiramate,Essential Hypertension
Mirtazapine,Benign Essential Hypertension
Tamsulosin HCl,Normal Routine History And Physical Geriatric (80 +)
CloNIDine HCl,Tobacco Use
Temazepam,Hyperlipidemia
Citracal Prenatal 90+DHA,Breast Cancer
Topamax,Essential Hypertension
Calmoseptine,Seizure Disorder
Metolazone,Hypertension
SEROquel,Hyperlipidemia
Accu-Chek Multiclix Lancets,Male Erectile Disorder
Bethanechol Chloride,Living With Parents
OneTouch Delica Lancets,Diabetes Mellitus Poorly Controlled
Procrit,Essential Hypertension
Multivitamin,Preterm Infant
Actonel,Hypertension
Lovenox,Alcohol
OneTouch UltraSoft Lancets,Hyperlipidemia
Aquaphor,Atopic Dermatitis
Tricor,Alcohol
Ventolin HFA,Esophageal Reflux
Terazosin HCl,Hypertension
Nasacort AQ,Esophageal Reflux
Dilantin Infatabs,Child With Special Needs
Clopidogrel Bisulfate,Taking Medication For A Long Time
Qvar,Allergic Rhinitis
SEROquel,Hypothyroidism
Medrol,Rheumatoid Arthritis
NovoLIN N,Benign Essential Hypertension
Baclofen,Heart Disease
Ibuprofen Childrens,Failure To Thrive In Childhood
Xanax,Hypertension
Galantamine Hydrobromide,Normal Routine History And Physical Geriatric (80 +)
Nystatin,Hyperlipidemia
CitraNatal 90 DHA,Marital History - Currently Married
Rozerem,Fatigue
Claritin,Diabetes Mellitus
BD Insulin Syringe Ultrafine,Essential Hypertension
Procrit,Type II Diabetes Mellitus
FLUoxetine HCl,Hypertension
Centrum,Hyperlipidemia
Amiodarone HCl,Hypertension
Nasal Saline,Hypertension
Ambien CR,Hypertension
Hydrocortisone Acetate,Constipation
GlyBURIDE-MetFORMIN,Hysterectomy
Chantix Starting Month Pak,Coronary Artery Disease
Quinine Sulfate,(Lower) Leg Localized Swelling Bilateral
Starlix,Type II Diabetes Mellitus
Centrum Silver,Depression
Levothroid,Hyperlipidemia
Amitriptyline HCl,Diabetes Mellitus
HydrALAZINE HCl,Drug Use
Auralgan,Acute Upper Respiratory Infection
Boniva,Benign Essential Hypertension
Cheratussin AC,Hypertension
Klor-Con,Hyperlipidemia
Terconazole,Tobacco Use
Combivent,Coronary Artery Disease
Doxy-Caps,Acute Sinusitis
Nebulizer,Cough
Vitamin E,Tobacco Use
HydrALAZINE HCl,Tobacco Use
ValACYclovir HCl,Alcohol
DME,Hysterectomy
Co Q-10,Coronary Artery Disease
Omega 3,Hysterectomy
Avapro,Tobacco Use
Janumet,Hypertension
Guaifenesin 600/PSE 120,Allergic Rhinitis
Hydroquinone,Acne
Ferrous Sulfate,Drug Use
Lutera,Marital History - Single
Allopurinol,Tobacco Use
Venlafaxine HCl,Fatigue
Colistimethate Sodium,Occupation:
CefTRIAXone Sodium,Never Smoked
Zestril,Hyperlipidemia
Losartan Potassium-HCTZ,Tobacco Use
Ortho-Novum 7/7/7 (28),Vaginitis
Retrovir,Common Cold
Ovcon-35 (28),Polycystic Ovarian Syndrome
Ibuprofen IB,Adverse Reaction To Anesthesia
Pataday,Asthma
Diltiazem HCl Coated Beads,Hyperlipidemia
Chantix Starting Month Pak,Esophageal Reflux
Topiramate,Diabetes Mellitus
Poly-Vi-Sol/Iron,Acute Upper Respiratory Infection
Nitroglycerin,Normal Routine History And Physical Geriatric (80 +)
Crestor,Occupation:
Verapamil HCl CR,Hyperlipidemia
Zoloft,Alcohol
SEROquel,Drug Use
Icar,Upper Respiratory Infection
Diphenoxylate-Atropine,Essential Hypertension
Calcium + D,Essential Hypertension
Sular,Hypertension
Meclizine HCl,Acute Upper Respiratory Infection
Diltiazem HCl Coated Beads,Benign Essential Hypertension
HalfLytely with Flavor Packs,Drug Use
Calcium,Never Smoked
Viramune,Marital History - Never Married
Guaifen-PSE,Acute Upper Respiratory Infection
Gentian Violet,Child Enrolled In Day-care
Xalatan,Hysterectomy
Victoza,Dyslipidemia
Loratadine-Pseudoephedrine,Allergic Rhinitis
Valtrex,Hypertension
GuaiFENesin,Hyperlipidemia
Icar,Contact Dermatitis
Amlodipine Besy-Benazepril HCl,Drug Use
Oscal 500/200 D-3,Hysterectomy
Accu-Chek Compact,"Type II Diabetes Mellitus - Uncomplicated, Uncontrolled"
Potassium Chloride Crys CR,Hysterectomy
BD Insulin Syringe Ultrafine,Hypertension
Senna,Normal Routine History And Physical Geriatric (80 +)
Methocarbamol,Benign Essential Hypertension
Reyataz,Drug Use
Diltiazem HCl,Hypertension
Vitamin B-12,Normal Routine History And Physical Geriatric (80 +)
Chantix Starting Month Pak,Hysterectomy
Tramadol-Acetaminophen,Drug Use
Poly-Vi-Sol/Iron,Diabetes Mellitus
Mag-Ox 400,Atrial Fibrillation
Tamsulosin HCl,Coronary Artery Disease
Relpax,Alcohol
Rifampin,Drug Use
Vitamin B Complex,Hypothyroidism
Clindamycin Phos-Benzoyl Perox,Abuse / Neglect
Acetylcysteine,Taking Medication For A Long Time
Omega 3,Essential Hypertension
Clindagel,Acne
Donepezil HCl,Hypothyroidism
Icar,Oral Thrush
Nitrostat,Type II Diabetes Mellitus
BD Pen Needle Ultrafine,Peripheral Neuropathy
Nasacort AQ,Alcohol Use
Blood Pressure Monitor/L Cuff,"Type II Diabetes Mellitus - Uncomplicated, Uncontrolled"
Kenalog,Otitis Media
YAZ,Alcohol
Childrens Loratadine,Reactive Airway Disease
BD Pen Needle Ultrafine,Hyperlipidemia
Levoxyl,Drug Use
Digoxin,Diabetes Mellitus
Nutraderm,Common Cold
Flomax,Diabetes Mellitus
OneTouch Test,Obesity
Sildenafil Citrate,Currently In School
Amiodarone HCl,Benign Essential Hypertension
Pradaxa,Hyperlipidemia
Oxybutynin Chloride,Tobacco Use
Poly-Vi-Sol,Esophageal Reflux
Bicillin L-A,HIV Infection
Losartan Potassium-HCTZ,Diabetes Mellitus
Tussionex Pennkinetic ER,Hyperlipidemia
BD Pen Needle Short U/F,Essential Hypertension
Zemplar,Essential Hypertension
Glucagon Emergency,Diabetes Mellitus
Dilantin,Tobacco Use
OneTouch Basic System,Diabetes Mellitus Poorly Controlled
Dicyclomine HCl,Tobacco Use
Lubriderm,Abuse / Neglect
Polyethylene Glycol 3350,Asthma
Senna-Docusate Sodium,Normal Routine History And Physical Geriatric (80 +)
Metaxalone,Drug Use
Fish Oil,Alcohol Use
Tamiflu,Allergic Rhinitis
CPAP Continuous Positive Airwa,Esophageal Reflux
Indomethacin,Hyperlipidemia
Chantix Continuing Month Pak,Hyperlipidemia
NovoLIN N,Coronary Artery Disease
Lidoderm,Normal Routine History And Physical Geriatric (80 +)
ProAir HFA,Occupation:
Alphagan P,Congestive Heart Failure
CitraNatal Assure,Tobacco Use
Xanax,Tobacco Use
Propranolol HCl CR,Hyperlipidemia
Xanax,Drug Use
Enulose,Insomnia
RisperDAL,Seizure Disorder
Occupational Therapy,Rheumatoid Arthritis
Metoclopramide HCl,Hypertension
Cipro HC,Acute Otitis Media
Claritin-D 12 Hour,Allergic Rhinitis
Ascensia Breeze 2,Diabetes Mellitus Poorly Controlled
Magnesium,Hypothyroidism
Androderm,Male Erectile Disorder
Coumadin,Diabetes Mellitus
OneTouch Ultra System,Type II Diabetes Mellitus
Ursodiol 60mg/ml,Failure To Thrive In Childhood
Chlorhexidine Gluconate,Alcohol
Nitrolingual,Previous History Of Smoking
Ofloxacin,Previous Hospitalizations
Levemir FlexPen,Hypothyroidism
Atarax,Atopic Dermatitis
Influenza (Split PF),Dementia
OB Complete with DHA,Urinary Tract Infection
Pulmicort,Allergic Rhinitis
Lanoxin,Coronary Artery Disease
Promethazine-Codeine,Cough
Cetirizine HCl Childrens,Preterm Infant
Cialis,Diabetes Mellitus
DiphenhydrAMINE Cough,Contact Dermatitis
Tamiflu,Marital History - Currently Married
Claritin,Hyperlipidemia
Guaifenesin PSE,Acute Sinusitis
Lancets Ultra Thin,Type II Diabetes Mellitus
Xalatan,Benign Essential Hypertension
Darvocet-N 100,Hysterectomy
Proventil HFA,Diabetes Mellitus
Icar,Acute Otitis Media
Verapamil HCl CR,Tobacco Use
Auralgan,Common Cold
Guaifenesin-DM,Upper Respiratory Infection
GuaiFENesin AC,Hyperlipidemia
Tylenol,Normal Routine History And Physical Geriatric (80 +)
Potassium Chloride CR,Type II Diabetes Mellitus
Multi-Day Vitamins,Alcohol
Levora 0.15/30 (28),Surgery
Atripla,Marital History - Single
Isosorbide Dinitrate,Previous History Of Smoking
Detrol LA,Hyperlipidemia
Sildenafil Citrate,Reactive Airway Disease
Tylenol Childrens,Child With Special Needs
Neurontin,Stroke Syndrome
Tylenol Childrens,Living With Parents
Aspir-81,Drug Use
Griseofulvin Ultramicrosize,Asthma
Levothroid,Hysterectomy
Pen Needles,Exercising Regularly
BD Insulin Syringe,Diabetes Mellitus
Avapro,Alcohol
Diazepam,Hyperlipidemia
Tussionex Pennkinetic ER,Essential Hypertension
Digitek,Essential Hypertension
CycloSPORINE Modified,End Stage Renal Disease
BuPROPion HCl,Hypothyroidism
Aleve,Arthritis
Cardizem CD,Benign Essential Hypertension
Betamethasone,Occupation:
SEROquel,Alcohol
Ventolin HFA,Never Smoked
Omega-3,Hyperlipidemia
CPAP Continuous Positive Airwa,Tobacco Use
Midrin,Migraine Headache
Guaifenesin 600/PSE 120,Acute Pharyngitis
Welchol,Essential Hypertension
Premarin,Allergic Rhinitis
Not Currently on Medications,Diabetes Mellitus
Potassium Chloride,Esophageal Reflux
DiphenhydrAMINE Cough,Child Enrolled In Day-care
Accu-Chek Active Glucose Cont,Type II Diabetes Mellitus
Vitamin D,Occupation:
Creon 10,Cystic Fibrosis
Boniva,Esophageal Reflux
Losartan Potassium,Obesity
DiphenhydrAMINE HCl,Hyperlipidemia
Ventolin HFA,Drug Use
Iron,Alcohol
Flexeril,Hyperlipidemia
Chantix Starting Month Pak,Exercising Regularly
Nebulizer,Obstructive Sleep Apnea
NovoLOG Mix 70/30,Hyperlipidemia
CeraVe,Child Enrolled In Day-care
Trilipix,Essential Hypertension
Estradiol,Hypothyroidism
NIFEdipine,Hysterectomy
Betamethasone,Allergies
Griseofulvin Ultramicrosize,Previous Hospitalizations
Prevpac,Fatigue
Allopurinol,Alcohol
Glucotrol XL,Taking Medication For Diabetes Long-term Use Of Insulin
Ascensia Autodisc Test,Diabetes Mellitus Poorly Controlled
Detrol LA,Benign Essential Hypertension
Aviane,Routine Pelvic Exam With Cervical Pap Smear
Ergocalciferol TABS,Tobacco Use
Januvia,Tobacco Use
PriLOSEC OTC,Hyperlipidemia
Leflunomide,Osteoporosis
Cozaar,Esophageal Reflux
FreeStyle Lite Test,Exercising Regularly
Coumadin,Alcohol Use
Calcitriol,Hypertension
Simethicone,Esophageal Reflux
Methocarbamol,Allergic Rhinitis
Combivent,Depression
Kaletra,Tobacco Use
Felodipine,Benign Essential Hypertension
Propranolol HCl,Drug Use
Guaiatussin AC,Acute Bronchitis
BiPAP,Dysphagia
Ferralet 90,Alcohol
CPAP Continuous Positive Airwa,Drug Use
Brompheniramine-Pseudoeph,Acute Bronchitis
Amantadine HCl,Drug Use
Cutivate,Eczema
Dicyclomine HCl,Drug Use
OneTouch UltraSoft Lancets,Diabetes Mellitus
Zolpidem Tartrate,Alcohol Use
GuanFACINE HCl,Attention-deficit Hyperactivity Disorder
Multaq,Taking Medication For A Long Time
Ofloxacin,Allergic Rhinitis
Nitrofurantoin,Urinary Tract Infection
LevETIRAcetam,Hypertension
Viactiv,Osteoporosis
Magic Mouthwash,Cough
Phenytoin Sodium Extended,Alcohol
Zovirax,Insomnia
Zostavax,Vitamin D Deficiency
Amerge,Migraine Headache
FreeStyle Lancets,Essential Hypertension
Griseofulvin Microsize,Coronary Artery Disease
Precision Xtra Blood Glucose,Dyslipidemia
Aggrenox,Heart Disease
Simcor,Type II Diabetes Mellitus
Ipratropium Bromide,Alcohol Use
Baclofen,Depression
Ofloxacin,Acute Upper Respiratory Infection
BiPAP,Chronic Obstructive Pulmonary Disease
Ethambutol HCl,Acquired Immunodeficiency Syndrome (AIDS)
Santyl,Taking Medication For Diabetes Long-term Use Of Insulin
Torsemide,Coronary Artery Disease
Propranolol HCl,Alcohol
Clopidogrel Bisulfate,Hyperlipidemia
Atrovent HFA,Atrial Fibrillation
Alphagan P,Normal Routine History And Physical Geriatric (80 +)
Rhinocort Aqua,Esophageal Reflux
Calcium,Benign Essential Hypertension
Nasacort AQ,Hyperlipidemia
Acetamin,Osteoarthritis
Budesonide,Alcohol Use
Simcor,Obesity
Astepro,Drug Use
Omacor,Obesity
Loratadine-D 24HR,Acute Upper Respiratory Infection
Amlodipine Besy-Benazepril HCl,Alcohol
Diazepam,Hypertension
Advil,Alcohol
Hydroxyurea,Sickle Cell Abnormality
Diltiazem HCl CR,Benign Essential Hypertension
Cyanocobalamin,Hysterectomy
Wellbutrin XL,Drug Use
Valtrex,Hyperlipidemia
Lactulose,Diabetes Mellitus
Tamsulosin HCl,Drug Use
Colistimethate Sodium,Allergies
Ferrous Fumarate,Anemia
Isometheptene-APAP-Dichloral,Alcohol
Prevpac,Abdominal Pain
CeleBREX,Diabetes Mellitus
Lunesta,Essential Hypertension
Hydrocortisone Ace-Pramoxine,Constipation
Oxybutynin Chloride,Essential Hypertension
Xyzal,Drug Use
BD Ultra-Fine Lancets,Alcohol
Advil,Heart Disease
Maxaron Forte,Family Health Status
Saline,Oral Thrush
OneTouch Ultra System,"Type II Diabetes Mellitus - Uncomplicated, Uncontrolled"
Ipratropium-Albuterol,Congestive Heart Failure
Atacand,Benign Essential Hypertension
NovoLIN R,Hyperlipidemia
Singulair,Hyperlipidemia
Clindamycin Palmitate HCl,Acute Otitis Media
Actonel,Alcohol
Guaifenesin-DM,Allergic Rhinitis
Tylenol,Tobacco Use
Boniva,Depression
PediaSure/Fiber,Seizure Disorder
Sinus Rinse Bottle Kit,Allergies
NovoLIN 70/30,Benign Essential Hypertension
Clarinex,Tobacco Use
FreeStyle Lite Test,Coronary Artery Disease
NovoLIN N,Essential Hypertension
Cleocin,Child Enrolled In Day-care
Ambien,Alcohol Use
Tussionex Pennkinetic ER,Allergic Rhinitis
Avandia,Coronary Artery Disease
BuPROPion HCl,Diabetes Mellitus
Cheratussin AC,Essential Hypertension
Accu-Chek Advantage Test,Diabetes Mellitus Poorly Controlled
Lancets Thin,Diabetes Mellitus Poorly Controlled
Atrovent HFA,Cough
Bactroban Nasal,Alcohol Use
Avelox,Depression
Sodium Bicarbonate,Hypertension
Lasix,Alcohol Use
Livalo,Hyperlipidemia
Butorphanol Tartrate,Migraine Headache
Chantix Continuing Month Pak,Alcohol
Rapamune,Hyperlipidemia
Metoclopramide HCl,Tobacco Use
Xalatan,Essential Hypertension
Starlix,Diabetes Mellitus
Klor-Con 10,Normal Routine History And Physical Geriatric (80 +)
BD Insulin Syringe Ultrafine,Benign Essential Hypertension
GlyBURIDE,Drug Use
BiDil,Taking Medication For Diabetes Long-term Use Of Insulin
Tylenol,Hypertension
Detrol LA,Depression
Diazepam,Essential Hypertension
Carisoprodol,Hysterectomy
DDAVP,Mental Retardation
Aranesp,Chronic Renal Failure
Lancets Ultra Thin,Chronic Renal Failure
Allegra-D,Allergic Rhinitis
Rhinocort Aqua,Alcohol
Accu-Chek Multiclix Lancets,Diabetes Mellitus
Fer-In-Sol,Preterm Infant
Amlodipine Besy-Benazepril HCl,Tobacco Use
Atacand,Hyperlipidemia
Avelox,Essential Hypertension
Riomet,Obesity
Lansoprazole,Asthma
SEROquel,Hypertension
Byetta 10 MCG Pen,Hypothyroidism
NovoLOG Mix 70/30 FlexPen,Hyperlipidemia
Dexamethasone Sodium Phosphate,Allergies
Chantix Starting Month Pak,Diabetes Mellitus
Fosamax,Normal Routine History And Physical Geriatric (80 +)
Dexamethasone Sodium Phosphate,Cancer
Naphcon-A,Allergic Rhinitis
Polymyxin B-Trimethoprim,Acute Upper Respiratory Infection
Actonel,Drug Use
Zaroxolyn,Renal Insufficiency
Nicotine,Congestive Heart Failure
Zithromax Z-Pak,Esophageal Reflux
Kionex,Congestive Heart Failure
Torsemide,Hyperlipidemia
PriLOSEC,Hypertension
Chantix Starting Month Pak,Occupation:
Pulmicort,Living With Parents
CloNIDine HCl,Drug Use
Losartan Potassium,Never Smoked
Losartan Potassium-HCTZ,Cough
Betamethasone,Asthma
Doxycycline Hyclate,Occupation:
Propranolol HCl,Tobacco Use
Januvia,Alcohol
Kayexalate,Proteinuria
Diltiazem HCl CR,Hyperlipidemia
Flovent,Previous Hospitalizations
Cyanocobalamin,Hypertension
Polymyxin B-Trimethoprim,Eczema
Estradiol,Tobacco Use
Clindamycin Palmitate HCl,Secondhand Tobacco Smoke In Home
Docusate Sodium,Coronary Artery Disease
Leflunomide,Vitamin D Deficiency
Poly-Vi-Sol/Iron,Stroke Syndrome
Enalapril-Hydrochlorothiazide,Hyperlipidemia
Isosorbide Mononitrate,Essential Hypertension
Pseudoephedrine-Guaifenesin,Acute Upper Respiratory Infection
Avalide,Tobacco Use
Bactroban,Stroke Syndrome
Sular,Benign Essential Hypertension
Rocaltrol,Proteinuria
Bactrim DS,Alcohol
PriLOSEC OTC,Alcohol
Poly-Vi-Sol/Iron,Eczema
Losartan Potassium-HCTZ,Alcohol
Sensipar,Hypertension
Zoloft,Essential Hypertension
GlipiZIDE XL,Diabetes Mellitus
Welchol,Obesity
Pradaxa,Recreational Activities Walking
Indomethacin,Alcohol
Norethindrone,Marital History - Currently Married
Polyvitamin/Iron,Child Enrolled In Day-care
YAZ,Drug Use
Metaxalone,Backache
Klor-Con 10,Benign Essential Hypertension
CefTAZidime,Alcohol Use
Tamsulosin HCl,Tobacco Use
Benzonatate,Asthma
Tekturna,Vitamin D Deficiency
Phenytoin Sodium Extended,Drug Use
Ibuprofen IB,Allergy To Bandaging Tape
Boniva,Alcohol
Fluocinonide,Drug Use
CPAP Continuous Positive Airwa,Hypertension
Reyataz,Marital History - Single
Dilantin Infatabs,Mental Retardation
Pulmicort,Esophageal Reflux
Imdur,Hypertension
Accu-Chek Comfort Curve,Hyperlipidemia
Levoxyl,Tobacco Use
Procardia XL,Essential Hypertension
Dilantin Infatabs,Chronic Constipation
Epzicom,Alcohol
Guaifenesin-Codeine,Fatigue
Dicyclomine HCl,Hyperlipidemia
Astepro,Cancer
Calcium 600-D,Osteoporosis
Benzoyl Peroxide,Under Stress
Ondansetron HCl,Tobacco Use
Glimepiride,Tobacco Use
Altace,Drug Use
Iron,Essential Hypertension
FreeStyle Test,Benign Essential Hypertension
Methocarbamol,Hypertension
Losartan Potassium-HCTZ,Obesity
HumaLOG Mix 75/25 KwikPen,Essential Hypertension
Aricept,Diabetes Mellitus
Baclofen,Stroke Syndrome
Terazosin HCl,Normal Routine History And Physical Geriatric (80 +)
Guaifenesin AC,Essential Hypertension
"Pen Needles 1/2""",Congestive Heart Failure
Benadryl Allergy,Atopic Dermatitis
Astelin,Hypertension
HalfLytely with Flavor Packs,Tobacco Use
Chantix,Tobacco Use
Synvisc One,Localized Primary Osteoarthritis Of The Knee
Magic Mouthwash,Allergic Rhinitis
Byetta 5 MCG Pen,Exercising Regularly
HydrOXYzine HCl,Essential Hypertension
PriLOSEC,Tobacco Use
Aciphex,Drug Use
Fluocinonide,Essential Hypertension
Glucophage,Coronary Artery Disease
Cetirizine HCl,Coronary Artery Disease
SEROquel XR,Depression
Lidoderm,Diabetes Mellitus
Kionex,Diabetic Retinopathy
Lotrel,Tobacco Use
Colistimethate Sodium,Asthma
Diovan,Occupation:
Accu-Chek Multiclix Lancets,Essential Hypertension
Temazepam,Essential Hypertension
Santyl,Edema
CitraNatal DHA,Gynecologic Services Contraceptive Management
Cyanocobalamin,Fatigue
Lovastatin,Tobacco Use
Precision Xtra Blood Glucose,Congestive Heart Failure
Tamsulosin HCl,Alcohol
Cefadroxil,Marital History - Currently Married
Metaxalone,Exercising Regularly
Lansoprazole,Hypertension
Ranitidine HCl,Hyperlipidemia
"Insulin Syringe 1ccc/30Gx1/2""",Type II Diabetes Mellitus
Niacin CR,Coronary Artery Disease
Sodium Polystyrene Sulfonate,Hyperlipidemia
Doc-Q-Lace,Diabetes Mellitus Poorly Controlled
Ofloxacin,Child Enrolled In Day-care
Golytely,Hypertension
Polymyxin B-Trimethoprim,Upper Respiratory Infection
Imdur,Essential Hypertension
Migranal,Migraine Headache
Alphagan P,Diabetes Mellitus Poorly Controlled
Stalevo 125,Dementia
Glucagon Emergency,Obesity
Coenzyme Q10,Esophageal Reflux
Prezista,Oral Thrush
Vitamin B Complex,Hyperlipidemia
Vitamin B-12,Hypertension
Onglyza,Essential Hypertension
CefTAZidime,Immunodeficiency Disorders
Cyanocobalamin,Essential Hypertension
Clonidine Patch,Proteinuria
Amantadine HCl,Tobacco Use
Inspra,Atrial Fibrillation
Phosphate Enema,Constipation
Cyanocobalamin,Hyperlipidemia
Lancets Ultra Thin,Obesity
HalfLytely with Flavor Packs,Alcohol
Cardura,Benign Essential Hypertension
Pravachol,Tobacco Use
Robinul,Chronic Constipation
Omnicef,Child Enrolled In Day-care
FreeStyle Test,Drug Use
NovoLOG PenFill,Diabetes Mellitus Poorly Controlled
Namenda,Essential Hypertension
HumaLOG KwikPen,Tobacco Use
Bisoprolol-Hydrochlorothiazide,Benign Essential Hypertension
NovoLIN 70/30,Hyperlipidemia
Diltia XT,Atrial Fibrillation
Vigamox,Coronary Artery Disease
Flecainide Acetate,Marital History - Currently Married
AndroGel,Essential Hypertension
Potassium Chloride Crys CR,Tobacco Use
PriLOSEC OTC,Drug Use
Aleve,Tobacco Use
